1  0.00
1 : 244.00 2 : 9.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 78.00 3 : 29.00 4 : 29.00
1 : 0.00 2 : 253.00 3 : 68.00 4 : 126.00
1 : 0.00 2 : 429.00 3 : 78.00 4 : 312.00
1 : 0.00 2 : 361.00 3 : 0.00 4 : 410.00
1 : 0.00 2 : 9.00 3 : 0.00 4 : 78.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 263.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 156.00 2 : 39.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 175.00 3 : 39.00 4 : 58.00
1 : 0.00 2 : 361.00 3 : 58.00 4 : 224.00
1 : 0.00 2 : 419.00 3 : 19.00 4 : 361.00
1 : 0.00 2 : 253.00 3 : 0.00 4 : 292.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 332.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 97.00 2 : 39.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 214.00 3 : 39.00 4 : 48.00
1 : 0.00 2 : 410.00 3 : 48.00 4 : 195.00
1 : 0.00 2 : 468.00 3 : 9.00 4 : 341.00
1 : 0.00 2 : 107.00 3 : 0.00 4 : 244.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 371.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 175.00 2 : 0.00 3 : 9.00 4 : 0.00
1 : 9.00 2 : 156.00 3 : 39.00 4 : 9.00
1 : 0.00 2 : 361.00 3 : 58.00 4 : 146.00
1 : 0.00 2 : 507.00 3 : 39.00 4 : 341.00
1 : 0.00 2 : 205.00 3 : 0.00 4 : 244.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 322.00 2 : 0.00 3 : 9.00 4 : 0.00
1 : 68.00 2 : 39.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 244.00 3 : 48.00 4 : 58.00
1 : 0.00 2 : 410.00 3 : 58.00 4 : 205.00
1 : 0.00 2 : 400.00 3 : 9.00 4 : 361.00
1 : 0.00 2 : 58.00 3 : 0.00 4 : 273.00
